initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,418.55498046875,66.84945678710938,95.55425415039062,183.6491455078125,81.11666666666666,84.79,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,419.0534052654501,67.6943375011217,96.02692400905323,183.6491313909652,81.11666666666666,84.79,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,460.32333984375,68.9331298828125,200.4976806640625,162.718798828125,82.87333333333333,86.76,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,460.23331625498196,67.04823388513468,200.58906928890582,162.71878178247897,82.87333333333333,86.76,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,85.339501953125,144.7535400390625,177.107763671875,173.4072265625,82.52333333333333,84.83,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,86.5736728435655,144.15822260589812,177.18424163621,173.40723275347537,82.52333333333333,84.83,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,92.22032470703125,126.29259033203125,328.3753662109375,162.9825927734375,82.05333333333333,85.24,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,91.4996825514064,125.67765456477323,328.17740095820557,162.98258939253952,82.05333333333333,85.24,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,120.853662109375,84.31077880859375,96.25609130859375,182.6909423828125,81.86833333333334,84.48,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,121.34809804167485,84.7165780440561,95.0677980300581,182.6909457267561,81.86833333333334,84.48,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,213.3487060546875,260.51728515625,117.31219482421875,156.63984375,81.925,85.29,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,211.1674961311784,259.68800414015203,117.13501222188742,156.63982733375482,81.925,85.29,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,121.176708984375,78.347900390625,169.25548095703124,160.632470703125,81.45333333333333,85.8,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,119.61476598120696,78.87604022348354,168.90663580613705,160.63248231668456,81.45333333333333,85.8,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,125.73975830078125,180.72508544921874,197.89906005859376,178.8118408203125,81.53,83.85,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,125.84924676083558,180.72620435045351,198.09428388827098,178.8118411071871,81.53,83.85,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,183.4176513671875,112.21239013671875,74.39532470703125,192.0210205078125,81.01666666666667,82.53,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,183.53945002011173,111.18939221347925,74.46021286790038,192.0210325601904,81.01666666666667,82.53,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,53.8864501953125,169.50391845703126,458.61962890625,168.6222900390625,81.14166666666667,83.86,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,54.09209722042366,170.1288249470855,459.00683264321907,168.62227089317042,81.14166666666667,83.86,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,357.951513671875,58.28804321289063,90.02404174804687,200.37725830078125,81.70666666666666,85.59,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,358.614026420614,58.953525231893344,90.04002087993935,200.37725145041875,81.70666666666666,85.59,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,330.952490234375,55.205902099609375,53.7991943359375,197.6716064453125,82.79666666666667,85.86,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,330.8822229795186,53.80732478240212,53.550258881100035,197.67159237316383,82.79666666666667,85.86,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,392.09228515625,66.61286010742188,114.62974853515625,218.161767578125,81.67333333333333,83.54,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,392.11186088805243,66.66862701432926,114.63639056229056,218.16175074529556,81.67333333333333,83.54,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,365.80009765625,194.1677001953125,173.553369140625,195.68922119140626,79.72333333333333,84.51,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,366.63959725545936,194.14435084525078,174.15870818438512,195.68922331940496,79.72333333333333,84.51,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,348.47568359375,108.9581787109375,173.0820556640625,201.3072265625,81.135,86.35,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,348.59543714310087,110.91707989069866,173.06786741758714,201.30722408537895,81.135,86.35,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,429.379345703125,51.80198974609375,56.9955810546875,214.5419677734375,81.94666666666667,83.99,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,429.6557667790741,50.561565668919,55.92899924810598,214.54197529668926,81.94666666666667,83.99,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,499.02109375,60.224420166015626,150.05120849609375,174.2858642578125,83.39666666666666,84.92,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,499.62380902861486,58.28901742133858,150.53030944965576,174.2858581132484,83.39666666666666,84.92,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,51.9693359375,107.5967529296875,147.6726806640625,195.178759765625,82.90666666666667,85.67,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,51.622129693789375,104.44507223830362,148.46919332565977,195.17875576721877,82.90666666666667,85.67,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,60.89766235351563,145.0205322265625,350.0300048828125,189.25303955078124,82.78333333333333,84.02,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,59.91467989998787,144.73896853651712,348.6381661533646,189.25303620057423,82.78333333333333,84.02,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,133.5751953125,77.74118041992188,79.3536376953125,225.258935546875,82.40333333333334,85.16,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,133.01956893469136,76.0925025031808,80.57435156976862,225.25895201549218,82.40333333333334,85.16,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,231.3466552734375,281.860546875,77.2931884765625,191.720458984375,82.615,84.83,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,231.47261008443508,281.75218233821494,76.92463977798552,191.72045867192574,82.615,84.83,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,117.36707763671875,54.3812255859375,192.2180908203125,204.6042236328125,81.98833333333333,85.48,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,118.13664947114339,53.23622659022412,192.20669428854782,204.60423362769103,81.98833333333333,85.48,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,66.50167236328124,236.3728515625,156.26258544921876,204.03565673828126,82.09666666666666,85.56,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,66.64325444787478,236.76622496216743,158.3856787371486,204.03567228130737,82.09666666666666,85.56,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,138.20289306640626,137.18330078125,64.12049560546875,239.009228515625,81.81333333333333,83.19,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,138.10136492374872,137.01773741094084,64.63993527827525,239.00922444545955,81.81333333333333,83.19,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,50.8265869140625,146.29954833984374,431.50927734375,208.5019287109375,81.85333333333334,84.54,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,52.31169163788163,145.1985429704707,432.1210277252336,208.50194197122272,81.85333333333334,84.54,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,400.177685546875,43.05924987792969,62.52876586914063,236.877001953125,81.91666666666667,84.88,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,399.4338571694882,43.85858192442063,62.506349330530256,236.8770005232149,81.91666666666667,84.88,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,358.648779296875,53.61936645507812,19.16072235107422,233.437060546875,82.96333333333334,84.84,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,359.6224133245816,53.460323517876205,18.530285013815,233.4370696207271,82.96333333333334,84.84,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,399.7468505859375,55.09127197265625,89.93671875,247.46865234375,82.18666666666667,84.57,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,399.90044822430184,54.54484972020542,90.17378638472091,247.46865863524675,82.18666666666667,84.57,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,382.50146484375,158.406201171875,145.256396484375,223.6517333984375,81.15333333333334,85.86,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,384.36379168902636,158.46652098070865,145.2963411523014,223.6517249490244,81.15333333333334,85.86,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,387.365966796875,72.48721313476562,118.31812744140625,215.0876220703125,82.18166666666667,87.03,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,387.71191978773214,74.55425828389427,116.82331413790477,215.0876101224414,82.18166666666667,87.03,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,395.460205078125,45.353399658203124,35.30941467285156,258.928125,82.475,83.19,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,394.64550948917713,46.11414046990324,35.5449522257007,258.92812466127845,82.475,83.19,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,459.97177734375,64.14151000976562,94.63329467773437,201.7605712890625,83.61833333333334,84.63,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,459.29382045031025,66.22028752378814,94.62385279225292,201.76059284459228,83.61833333333334,84.63,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,32.74953918457031,87.18997802734376,134.77381591796876,247.641552734375,83.17,85.51,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,31.626924928841458,84.62060079335055,134.66817306394037,247.64154128466583,83.17,85.51,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,60.4069580078125,124.3107666015625,299.34619140625,230.9884765625,82.755,83.85,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,59.0410449734949,124.77219041944443,298.70510635399637,230.9884660405101,82.755,83.85,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,145.17572021484375,64.11889038085937,66.80615234375,256.1282958984375,82.91833333333334,84.22,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,146.04671615704984,64.7203946916532,66.79342951274204,256.12827976475944,82.91833333333334,84.22,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,201.17210693359374,249.7837158203125,55.006341552734376,220.604931640625,82.86,85.39,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,200.20258633541957,248.77399132642162,53.696366923052075,220.60494218657396,82.86,85.39,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,105.8261474609375,40.045223999023435,214.229345703125,221.925,82.61833333333334,83.74,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,106.61806249937663,40.331485343914174,214.80919590470498,221.92500786579618,82.61833333333334,83.74,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,26.978317260742188,261.204638671875,113.684033203125,246.953466796875,82.42833333333333,84.72,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,27.067751487537226,262.0039653325024,111.19322039684702,246.95348471706848,82.42833333333333,84.72,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,116.349267578125,157.34180908203126,41.254693603515626,264.1546875,82.45166666666667,83.27,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,116.22577983794092,156.39932892741075,42.21403023948833,264.15468502110525,82.45166666666667,83.27,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,46.998590087890626,98.98607177734375,369.21279296875,247.7692626953125,82.16166666666666,85.29,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,48.49509141968118,101.08518914062708,368.91326907511313,247.76927129473506,82.16166666666666,85.29,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,421.87421875,38.22587890625,37.59970397949219,256.1761474609375,82.47166666666666,84.83,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,421.95214691923593,39.015862152552174,37.6888345783338,256.1761471218925,82.47166666666666,84.83,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,345.9147705078125,55.296142578125,10.195973205566407,259.940283203125,83.03,85.03,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,344.1331351315659,56.46601775540272,10.212029090228313,259.94029057332364,83.03,85.03,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,349.680517578125,53.3687255859375,44.41180419921875,281.6591796875,82.48666666666666,84.44,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,348.94232180717654,54.25589411772209,44.4705173624162,281.659193556827,82.48666666666666,84.44,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,377.07158203125,72.16036987304688,119.890576171875,239.436572265625,81.91333333333333,85.87,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,378.1059921252258,72.52363243889272,119.89473049403287,239.43658463078367,81.91333333333333,85.87,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,418.090185546875,22.327548217773437,100.02086791992187,223.000146484375,82.48666666666666,86.38,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,418.2322724421976,22.141170434617038,99.37242428726051,223.00015128924738,82.48666666666666,86.38,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,373.9091552734375,50.901242065429685,19.840821838378908,300.7162109375,82.48666666666666,83.95,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,375.6942306931963,52.577376484381865,20.286031896052684,300.7162373014891,82.48666666666666,83.95,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,381.398095703125,70.07420654296875,50.93995361328125,242.493212890625,83.01833333333333,83.1,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,385.60596868595167,71.42295009822475,51.436545877067545,242.49321036687078,83.01833333333333,83.1,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,21.929412841796875,96.81354370117188,104.5137451171875,298.784326171875,82.84333333333333,83.93,deeplift,2
