initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch1.1,branch2.0,branch2.1,branch3.0,branch3.1,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,430.3517,430.35153,175.87274,175.87276,163.07054,163.07054,91.95666666666666,95.32,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,500.2557097042797,500.2557555034217,246.80377892297352,246.80377311515954,163.6574046262398,163.65741499179225,91.95666666666666,95.32,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,223.10059,223.10062,228.2386,228.23866,252.99908,252.99908,93.38333333333334,95.47,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,232.53940767132568,232.53940971026336,244.85399098313096,244.85398525675976,263.0807648226562,263.0807706470012,93.38333333333334,95.47,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,170.69978,170.69978,442.22635,442.22626,99.39167,99.39165,92.82166666666667,96.53,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,220.64758242657805,220.64759135387482,546.907124754596,546.9071685493886,171.7392417980553,171.73924656995555,92.82166666666667,96.53,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,205.18373,205.18367,558.0061,558.00604,88.63321,88.63321,92.22666666666667,96.37,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,272.4459714141865,272.4459839411533,665.0790376948404,665.0790184264615,109.2595011494732,109.2595044773052,92.22666666666667,96.37,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,372.84995,372.84995,54.757126,54.757137,436.09906,436.09906,92.39833333333333,96.47,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,422.54868621336857,422.5486607316264,53.697245814108996,53.697245128864566,471.003304499871,471.00332273037736,92.39833333333333,96.47,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,474.44412,474.44403,221.36252,221.36252,231.55115,231.55118,92.255,95.84,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,553.5018830328681,553.5018732326695,263.9865345417606,263.98653596875215,280.9416672761533,280.9416513181753,92.255,95.84,integrated_gradients,5
