initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,248.61461,150.17688,113.26609,86.755,92.47,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,290.81615907152707,191.77499701908545,152.43272157563342,86.755,92.47,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,180.58539,142.51918,206.1209,88.42666666666666,93.42,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,259.6415073150102,196.99114124835404,287.1112327036171,88.42666666666666,93.42,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,139.27109,204.81004,217.16217,88.23333333333333,93.0,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,173.27638577387071,259.33246846941887,272.95239367589835,88.23333333333333,93.0,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,178.6637,250.19029,160.52188,87.50333333333333,91.59,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,234.83991549833527,307.4523829856833,218.39627789514935,87.50333333333333,91.59,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,152.38248,145.26631,264.47726,86.42833333333333,92.52,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,205.3339977078834,190.32977695705026,350.4491799555941,86.42833333333333,92.52,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,236.45386,186.53845,205.30267,86.13666666666667,91.01,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,272.78911568476866,213.81459312389617,240.36178914877584,86.13666666666667,91.01,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,119.931015,294.82196,208.66295,86.11166666666666,90.34,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,129.80874618070257,323.26091919393605,228.54603410202938,86.11166666666666,90.34,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,193.01457,175.64574,152.71193,86.56,91.88,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,227.16475788913033,209.33283123503034,180.69745884391594,86.56,91.88,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,169.21811,175.294,155.49216,87.935,93.87,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,262.2056934601739,267.915977576706,245.98185593086075,87.935,93.87,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,160.6143,268.51422,270.13705,87.765,94.31,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,209.78551439654865,354.6990943420129,351.34495474492945,87.765,94.31,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,178.68784,200.33604,225.4536,87.71833333333333,93.61,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,220.1779146599877,248.93317020190386,277.00407364688436,87.71833333333333,93.61,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,196.4177,203.3251,218.34479,87.14333333333333,93.47,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,256.12807892010835,267.17669773269245,288.5763794222559,87.14333333333333,93.47,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,240.69173,204.12457,203.01674,87.02333333333333,91.53,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,269.39274666228107,235.95490406752725,233.38019886427023,87.02333333333333,91.53,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,224.93135,155.3994,179.71674,86.80166666666666,91.3,deeplift,13
